Rk,Unnamed: 1,Age,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19,OBPM,DBPM,BPM,VORP,Year,Team,Percent_VORP,TOV%,USG%,Unnamed: 16,Unnamed: 21,3PAr,Unnamed: 17,Unnamed: 22
10,David West,37,18,175,19.2,0.631,0.08900000000000001,7.2,15.5,11.6,26.1,1.7,5.0,,0.5,0.3,0.8,0.217,,1.7,4.1,5.8,0.3,2018,GSW,0.04838709677419355,17.6,14.5,,,0.044000000000000004,,
7,Steve Kerr,32,21,415,11.3,0.601,0.289,2.3,2.8,2.5,13.5,1.0,0.0,,1.0,0.3,1.3,0.149,,0.9,0.2,1.1,0.3,1998,CHI,0.04838709677419354,5.5,10.4,,,0.539,,
6,Marco Belinelli,31,10,273,12.8,0.539,0.292,0.4,7.9,4.1,11.4,1.3,0.0,,0.5,0.2,0.7,0.129,,0.3,-0.6,-0.3,0.1,2018,PHI,0.04761904761904763,3.2,19.0,,,0.434,,
7,Ersan Ä°lyasova,30,10,233,14.4,0.499,0.25,11.8,23.3,17.4,8.7,1.5,1.6,,0.2,0.3,0.5,0.11199999999999999,,0.4,-0.4,0.0,0.1,2018,PHI,0.04761904761904763,9.7,18.6,,,0.369,,
4,Pete Myers,30,10,235,12.1,0.536,0.375,5.4,4.6,5.0,19.8,1.9,1.3,,0.1,0.1,0.3,0.055,,-0.5,0.2,-0.3,0.1,1994,CHI,0.04761904761904763,20.7,16.8,,,0.071,,
4,Robert Covington,27,10,281,9.6,0.45,0.193,4.5,15.8,10.1,12.7,1.9,2.9,,0.0,0.4,0.4,0.073,,-1.2,1.1,-0.2,0.1,2018,PHI,0.04761904761904763,10.9,15.1,,,0.578,,
7,Gus Williams,23,10,184,15.8,0.555,0.3,4.5,3.3,4.0,18.8,2.0,0.3,,0.4,0.1,0.5,0.13,,0.7,0.3,1.1,0.1,1977,GSW,0.047619047619047616,,,,,,,
6,Charles Dudley,26,10,236,13.1,0.435,0.622,6.7,9.0,7.8,34.1,1.4,0.0,,0.0,0.1,0.2,0.039,,0.2,0.1,0.3,0.1,1977,GSW,0.047619047619047616,,,,,,,
1,Tom Chambers,30,16,612,14.2,0.5329999999999999,0.48,3.9,14.6,9.6,8.0,0.6,0.7,,0.4,0.7,1.0,0.08199999999999999,,0.3,-0.9,-0.5,0.2,1990,PHO,0.047619047619047616,12.8,26.4,,,0.069,,
5,John Bagley,31,10,308,13.6,0.499,0.389,3.0,8.1,5.4,36.0,1.5,0.2,,-0.1,0.1,0.0,0.001,,0.8,-1.4,-0.6,0.1,1992,BOS,0.047619047619047616,23.9,21.0,,,0.042,,
